query_number,query,intent_number,action,target,intent_text,rank,tool_name,score,score_retention,next_score,gap,cliff_percentage
1,Send an email to Tom,1,send,an email,Send an email to Tom,63,quest_studio_file_storage_get_file_content,0.408203125,57.417582417582416,0.40625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,64,github_mcp_server_pull_request_read,0.40625,57.14285714285714,0.404296875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,65,railway_tools_service_update,0.404296875,56.86813186813187,0.404296875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,66,quest_studio_file_storage_delete_file,0.404296875,56.86813186813187,0.404296875,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,67,supabase_mcp_check_database_health,0.404296875,56.86813186813187,0.40234375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,68,railway_tools_service_create_from_image,0.40234375,56.59340659340659,0.400390625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,69,project_management_tools_get_team,0.400390625,56.31868131868132,0.400390625,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,70,railway_tools_service_delete,0.400390625,56.31868131868132,0.3984375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,71,office_word_mcp_server_api_list_files,0.3984375,56.043956043956044,0.396484375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,72,github_mcp_server_get_commit,0.396484375,55.769230769230774,0.396484375,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,73,github_mcp_server_create_pull_request,0.396484375,55.769230769230774,0.396484375,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,74,web_search_tools_web_search,0.396484375,55.769230769230774,0.39453125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,75,project_management_tools_list_team_members,0.39453125,55.494505494505496,0.392578125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,send,an email,Send an email to Tom,76,carrot_mcp_server_api_list_leave_application,0.392578125,55.219780219780226,0.392578125,0.0,0.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,77,project_management_tools_view_board,0.392578125,55.219780219780226,0.392578125,0.0,0.0
