query_number,query,intent_number,action,target,intent_text,peak_score,rank,tool_name,score,score_retention,gap,relative_gradient,history_count,historical_median_gap,progressive_strength
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,88,sharepoint_tools_get_sharepoint_documents,0.384765625,54.12087912087912,0.001953125,0.27472527472527475,50,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,89,supabase_mcp_get_table_schema,0.3828125,53.84615384615385,0.0,0.0,51,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,90,supabase_mcp_select_database_table_data,0.3828125,53.84615384615385,0.0,0.0,51,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,91,project_management_tools_update_task_status,0.3828125,53.84615384615385,0.0,0.0,51,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,92,quest_studio_file_storage_update_file,0.3828125,53.84615384615385,0.001953125,0.27472527472527475,51,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,93,github_mcp_server_merge_pull_request,0.380859375,53.57142857142857,0.0,0.0,52,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,94,project_management_tools_delete_sprint,0.380859375,53.57142857142857,0.001953125,0.27472527472527475,52,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,95,project_management_tools_create_project,0.37890625,53.2967032967033,0.001953125,0.27472527472527475,53,0.00390625,0.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,96,project_management_tools_get_user_capacity,0.376953125,53.02197802197802,0.0,0.0,54,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,97,github_mcp_server_get_file_contents,0.376953125,53.02197802197802,0.001953125,0.27472527472527475,54,0.0029296875,0.6666666666666666
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,98,github_mcp_server_push_files,0.375,52.74725274725275,0.0,0.0,55,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,99,quest_studio_file_storage_get_file,0.375,52.74725274725275,0.001953125,0.27472527472527475,55,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,100,project_management_tools_update_work_item,0.373046875,52.472527472527474,0.0,0.0,56,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,101,project_management_tools_update_user_capacity,0.373046875,52.472527472527474,0.0,0.0,56,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,102,github_mcp_server_list_pull_requests,0.373046875,52.472527472527474,0.00390625,0.5494505494505495,56,0.001953125,2.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,103,project_management_tools_get_work_item_comments,0.369140625,51.92307692307693,0.001953125,0.27472527472527475,57,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,104,project_management_tools_delete_work_item,0.3671875,51.64835164835166,0.0,0.0,58,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,105,github_mcp_server_update_pull_request,0.3671875,51.64835164835166,0.0,0.0,58,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,106,supabase_mcp_get_database_tables,0.3671875,51.64835164835166,0.001953125,0.27472527472527475,58,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,107,sharepoint_tools_get_sharepoint_sites,0.365234375,51.373626373626365,0.0,0.0,59,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,108,railway_tools_volume_delete,0.365234375,51.373626373626365,0.001953125,0.27472527472527475,59,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,109,railway_tools_volume_update,0.36328125,51.098901098901095,0.0,0.0,60,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,110,quest_studio_file_storage_get_files,0.36328125,51.098901098901095,0.0,0.0,60,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,111,supabase_mcp_get_all_supabase_projects,0.36328125,51.098901098901095,0.001953125,0.27472527472527475,60,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,112,github_mcp_server_list_branches,0.361328125,50.824175824175825,0.001953125,0.27472527472527475,61,0.001953125,1.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,113,project_management_tools_get_work_item,0.359375,50.54945054945055,0.005859375,0.8241758241758242,62,0.001953125,3.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,114,railway_tools_volume_list,0.353515625,49.72527472527473,0.00390625,0.5494505494505495,63,0.001953125,2.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,115,github_mcp_server_delete_file,0.349609375,49.175824175824175,0.0078125,1.098901098901099,64,0.001953125,4.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,116,railway_tools_volume_create,0.341796875,48.07692307692308,0.00390625,0.5494505494505495,65,0.001953125,2.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,117,project_management_tools_list_users,0.337890625,47.527472527472526,0.0,0.0,66,,
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,118,project_management_tools_list_projects,0.337890625,47.527472527472526,0.009765625,1.3736263736263736,66,0.001953125,5.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,119,project_management_tools_get_project,0.328125,46.15384615384615,0.0078125,1.098901098901099,67,0.001953125,4.0
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,120,project_management_tools_update_project,0.3203125,45.05494505494506,0.00390625,0.5494505494505495,68,0.0029296875,1.3333333333333333
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,121,project_management_tools_delete_project,0.31640625,44.505494505494504,0.021484375,3.021978021978022,69,0.00390625,5.5
1,Send an email to Tom,1,send,an email,Send an email to Tom,0.7109375,122,quest_studio_file_storage_query_files,0.294921875,41.48351648351649,,,70,,
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,1,gmail_tools_reply_google_email,0.72265625,100.0,0.01953125,2.7027027027027026,0,,
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,2,outlook_mail_management_reply_to_email,0.703125,97.2972972972973,0.078125,10.81081081081081,1,,
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,3,gmail_tools_send_google_email,0.625,86.48648648648648,0.0078125,1.0810810810810811,2,,
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,4,outlook_mail_management_compose_email,0.6171875,85.4054054054054,0.0078125,1.0810810810810811,3,0.01953125,0.4
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,5,gmail_tools_forward_google_email,0.609375,84.32432432432432,0.01953125,2.7027027027027026,4,0.013671875,1.4285714285714286
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,6,gmail_tools_get_google_emails,0.58984375,81.62162162162161,0.01953125,2.7027027027027026,5,0.01953125,1.0
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,7,gmail_tools_delete_google_email,0.5703125,78.91891891891892,0.00390625,0.5405405405405406,6,0.01953125,0.2
2,Reply to Tom's email,1,reply,Tom email,Reply to Tom 's email,0.72265625,8,outlook_mail_management_send_email,0.56640625,78.37837837837837,0.015625,2.1621621621621623,7,0.01953125,0.8
